age_calBP,years_AD,d13C,d18O
1952.483855,-2,-0.906187127,-12.47017819
1951.146066,-1,-0.574058255,-12.24199632
1949.807309,0,-0.86437562,-12.67481517
1948.467581,2,-0.712163237,-13.15541014
1947.126882,3,-1.379246687,-13.45508647
1945.785209,4,-0.926975367,-13.48653105
1944.442561,6,-1.209970524,-13.24457537
1943.098935,7,-1.563798768,-13.49793342
1941.754329,8,-1.548745934,-13.44966335
1940.408743,10,-1.69329784,-13.51260549
1939.062173,11,-1.627372523,-12.95573309
1937.714618,12,-1.754988097,-12.98396126
1936.366076,14,-2.015314298,-13.30738505
1935.016546,15,-2.065174268,-13.35570916
1933.666025,16,-2.333194158,-13.55536672
1932.314512,18,-2.467156315,-13.92460739
1930.962005,19,-2.369808075,-13.93228266
1929.608501,20,-2.087947157,-13.47718358
1928.254,22,-1.636022037,-13.54413896
1926.898498,23,-2.127595143,-13.70999606
1925.541995,24,-2.433537576,-13.29662487
1924.184488,26,-2.440199794,-13.07350932
1922.825975,27,-2.505241033,-12.92855988
1921.466456,29,-2.967449413,-12.88480559
1920.105927,30,-3.185962839,-12.71357339
1918.744386,31,-3.535048093,-12.33246217
1903.700174,46,-2.884,-12.98916406
1900.951498,49,-1.796252206,-12.81851991
1898.198673,52,-2.087,-12.354
1895.441682,55,-2.64620436,-13.05504097
1892.680512,57,-2.226481343,-13.11400313
1891.298355,59,-1.92,-12.72464821
1887.145571,63,-2.076931239,-12.59794111
1884.37177,66,-2.822,-12.671
1881.593729,68,-3.023135563,-13.82762728
1878.811431,71,-3.18395495,-13.68876575
1877.418682,73,-2.738,-12.96860821
1876.024864,74,-2.563829691,-12.98921436
1873.23401,77,-2.920376455,-13.01405232
1870.438855,80,-3.045,-12.976
1867.639383,82,-1.559208278,-12.48227124
1864.83558,85,-1.616714147,-12.03943552
1863.432049,87,-1.806,-11.89502519
1862.02743,88,-2.11703243,-12.39873207
1859.214917,91,-2.219517185,-13.08558861
1856.398028,94,-1.919,-12.999
1853.576745,96,-1.517591883,-13.37520446
1850.751055,99,-2.882554954,-13.6560163
1849.336552,101,-2.971,-12.79664571
1847.920941,102,-2.481609945,-13.07072212
1845.086389,105,-3.447742991,-13.19170433
1842.247383,108,-3.778,-13.639
1839.403908,111,-2.813421923,-13.3503532
1836.555948,113,-2.595492618,-12.72815808
1835.130281,115,-3.144,-12.74849821
1833.703488,116,-2.609936347,-12.73974715
1830.846512,119,-2.254761879,-12.68819083
1827.985006,122,-2.321,-12.497
1825.118954,125,-1.817014461,-12.3272125
1822.24834,128,-1.905961387,-12.65071691
1820.811318,129,-1.935,-12.64302084
1819.37315,131,-2.114713336,-12.91231762
1816.493367,134,-2.239974112,-13.02097541
1813.608976,136,-2.483,-13.083
1810.719961,139,-2.82701315,-13.7115943
1807.826308,142,-3.622540344,-13.9817756
1806.377737,144,-3.55,-13.51605828
