"","age_calBP","method","Temp"
"721",373,"SA_temp",-0.33
"722",372,"SA_temp",-0.53
"723",371,"SA_temp",-0.54
"724",370,"SA_temp",-0.27
"725",369,"SA_temp",-0.54
"726",368,"SA_temp",-0.61
"727",367,"SA_temp",-0.51
"728",366,"SA_temp",-0.41
"729",365,"SA_temp",-0.36
"730",364,"SA_temp",-0.21
"731",363,"SA_temp",-0.33
"732",362,"SA_temp",-0.29
"733",361,"SA_temp",-0.41
"734",360,"SA_temp",-0.46
"735",359,"SA_temp",-0.61
"736",358,"SA_temp",-0.83
"737",357,"SA_temp",-0.46
"738",356,"SA_temp",-0.6
"739",355,"SA_temp",-0.31
"740",354,"SA_temp",-0.33
"741",353,"SA_temp",-0.43
"742",352,"SA_temp",-0.27
"743",351,"SA_temp",-0.15
"744",350,"SA_temp",-0.11
"745",349,"SA_temp",-0.36
"746",348,"SA_temp",-0.37
"747",347,"SA_temp",-0.47
"748",346,"SA_temp",-0.32
"749",345,"SA_temp",-0.41
"750",344,"SA_temp",-0.59
"751",343,"SA_temp",-0.66
"752",342,"SA_temp",-0.46
"753",341,"SA_temp",-0.34
"754",340,"SA_temp",-0.48
"755",339,"SA_temp",-0.69
"756",338,"SA_temp",-0.71
"757",337,"SA_temp",-0.39
"758",336,"SA_temp",-0.53
"759",335,"SA_temp",-0.59
"760",334,"SA_temp",-0.5
"761",333,"SA_temp",-0.51
"762",332,"SA_temp",-0.51
"763",331,"SA_temp",-0.43
"764",330,"SA_temp",-0.33
"765",329,"SA_temp",-0.27
"766",328,"SA_temp",-0.2
"767",327,"SA_temp",-0.5
"768",326,"SA_temp",-0.45
"769",325,"SA_temp",-0.29
"770",324,"SA_temp",-0.4
"771",323,"SA_temp",-0.43
"772",322,"SA_temp",-0.38
"773",321,"SA_temp",-0.06
"774",320,"SA_temp",-0.02
"775",319,"SA_temp",-0.35
"776",318,"SA_temp",-0.42
"777",317,"SA_temp",-0.34
"778",316,"SA_temp",-0.22
"779",315,"SA_temp",-0.36
"780",314,"SA_temp",-0.45
"781",313,"SA_temp",-0.45
"782",312,"SA_temp",-0.3
"783",311,"SA_temp",-0.59
"784",310,"SA_temp",-0.37
"785",309,"SA_temp",-0.22
"786",308,"SA_temp",-0.47
"787",307,"SA_temp",-0.38
"788",306,"SA_temp",-0.67
"789",305,"SA_temp",-0.64
"790",304,"SA_temp",-0.57
"791",303,"SA_temp",-0.57
"792",302,"SA_temp",-0.36
"793",301,"SA_temp",-0.33
"794",300,"SA_temp",-0.5
"795",299,"SA_temp",-0.54
"796",298,"SA_temp",-0.26
"797",297,"SA_temp",-0.39
"798",296,"SA_temp",-0.66
"799",295,"SA_temp",-0.75
"800",294,"SA_temp",-0.89
"801",293,"SA_temp",-0.4
"802",292,"SA_temp",-0.57
"803",291,"SA_temp",-0.37
"804",290,"SA_temp",-0.47
"805",289,"SA_temp",-1.05
"806",288,"SA_temp",-0.36
"807",287,"SA_temp",-0.33
"808",286,"SA_temp",-0.54
"809",285,"SA_temp",-0.68
"810",284,"SA_temp",-0.43
"811",283,"SA_temp",-0.6
"812",282,"SA_temp",-0.64
"813",281,"SA_temp",-0.65
"814",280,"SA_temp",-0.57
"815",279,"SA_temp",-0.33
"816",278,"SA_temp",-0.34
"817",277,"SA_temp",-0.3
"818",276,"SA_temp",-0.67
"819",275,"SA_temp",-0.35
"820",274,"SA_temp",-0.34
"821",273,"SA_temp",-0.18
"822",272,"SA_temp",-0.15
"823",271,"SA_temp",-0.22
